"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","symbol"
"CAPZA1",-1.26532831635563,9.20452008046937,-10.8024364621697,2.72292314082971e-16,2.68568622912026e-12,26.4758600272454,"DOWN","CAPZA1"
"IFI27",3.82345154907077,10.9109028010655,10.7090583186896,3.94315993117054e-16,2.68568622912026e-12,26.1240444797214,"UP","IFI27"
"POTEM",-0.723221155933516,8.08605865614146,-10.1649298004332,3.47152663901283e-15,1.57630452922109e-11,24.0540422218103,"DOWN","POTEM"
"CYRIB",-0.803456596949571,9.49382197054199,-9.59737868777984,3.45507627546721e-14,1.17662622561036e-10,21.861856870094,"DOWN","CYRIB"
"TLR1",-1.00084982072951,9.46631273762308,-9.29839148437622,1.17116971857528e-13,3.19073478128649e-10,20.6952401335747,"DOWN","TLR1"
"RNASEH2C",0.521161297086007,8.11214238346558,9.16182274410646,2.0495691625602e-13,4.36400149680395e-10,20.160013074742,"NOT","RNASEH2C"
"ZFP36L1",-0.830582704574146,10.9070341895627,-9.13989003945609,2.24254958725794e-13,4.36400149680395e-10,20.0739296400118,"DOWN","ZFP36L1"
"SEPTIN7",-0.506207511348951,8.01600219720339,-8.88704289534429,6.34052596254243e-13,1.0227015387785e-09,19.0791991221623,"NOT","SEPTIN7"
"DPM3",0.67358368598636,8.42318201096881,8.87159513653456,6.75694747394399e-13,1.0227015387785e-09,19.0182955192541,"NOT","DPM3"
"CMC2",0.85356509371919,9.0241597891947,8.8022050867476,8.99296280028833e-13,1.22502139265528e-09,18.7445517880582,"UP","CMC2"
"MRPL27",0.453194900972156,7.83264785674582,8.77099266154552,1.02277410512401e-12,1.26656625999994e-09,18.621331108777,"NOT","MRPL27"
"IGBP1P1",-0.274778429805752,7.37330945469871,-8.68296924791086,1.47048455750405e-12,1.66924505352668e-09,18.2735545962139,"NOT","IGBP1P1"
"NDUFB7",0.959954727878205,9.14296470864224,8.63409267037993,1.79918368221749e-12,1.81051153316167e-09,18.0802782763713,"UP","NDUFB7"
"CDKN1B",-0.883553602690432,9.64295243525061,-8.62594294276777,1.86075183264304e-12,1.81051153316167e-09,18.048040156157,"DOWN","CDKN1B"
"STK38",-0.586132382669266,9.63335742215883,-8.54601037600953,2.5886219789842e-12,2.35081390651485e-09,17.7316896193243,"NOT","STK38"
"NDUFA13",0.666205057186261,9.31291368175741,8.15973060851613,1.27964686729133e-11,1.08945935164015e-08,16.1996177994485,"NOT","NDUFA13"
"MRPL21",0.393709644641188,8.29029826145712,8.13673786820124,1.40747907893715e-11,1.12780470666364e-08,16.1082957965651,"NOT","MRPL21"
"TDP2",-0.638704391077101,7.98401415281466,-8.11298240672202,1.55298912522267e-11,1.17526765909907e-08,16.0139341959033,"NOT","TDP2"
"H4C3",1.24901254205706,12.1194855084518,7.97213519812463,2.78315965933299e-11,1.99537899365442e-08,15.4542922022224,"UP","H4C3"
"FAU",0.810172816072727,11.7631454968189,7.93238261505381,3.28137420704308e-11,2.23494397241704e-08,15.2963032615642,"UP","FAU"
"ACTR3",-0.767835622517708,10.2769982427298,-7.88774524463764,3.94785578435521e-11,2.56084245211841e-08,15.1188911033201,"DOWN","ACTR3"
"ZNF217",-0.716937665104986,8.94440987530051,-7.85466318546627,4.52768855587386e-11,2.80346243218699e-08,14.9874026482106,"DOWN","ZNF217"
"EAPP",-0.255099218094417,7.28795885440076,-7.8433649605071,4.74462370023085e-11,2.81005495845846e-08,14.9424964531588,"NOT","EAPP"
"LY6E",2.01705391151664,9.83040524744219,7.79731150600458,5.74178693831507e-11,3.18236290324491e-08,14.7594535377191,"UP","LY6E"
"RNPC3",-0.265340140217351,7.83706857633393,-7.78962559344223,5.92751290740225e-11,3.18236290324491e-08,14.7289059655391,"NOT","RNPC3"
"ATXN1",-0.610093971920573,8.63940518935309,-7.78372731963612,6.07410332435528e-11,3.18236290324491e-08,14.705463528395,"NOT","ATXN1"
"ISG15",1.9220282662986,8.55667970010292,7.65251630603373,1.0458100303324e-10,5.27630527155108e-08,14.1840436458856,"UP","ISG15"
"UBE2S",0.802892971683157,9.00325317387703,7.59842814396205,1.30824448980342e-10,6.29973758910879e-08,13.969166307329,"UP","UBE2S"
