ENTREZID,logFC
6363,4.047517962
6348,2.170454544
6351,2.023427992
6361,0.388646859
6352,3.723946161
6355,3.993883689
6359,-0.135478886
6368,3.83291849
6347,0.857204405
56477,0.108607698
6362,0.90872144
6364,3.795431772
2919,4.651536969
2920,1.468781195
6374,3.648882877
6372,4.084938569
5197,0.398394219
3627,2.247635968
6373,1.115037844
10563,1.770198313
58191,1.373171016
9547,0.398855265
3574,0.484828243
3600,1.024311171
85480,-0.242088448
1442,-0.24541357
3569,2.683036586
3592,0.515386417
51561,0.780590758
246778,0.447713376
10148,5.611799804
23529,0.273969708
5008,3.093736648
3586,1.614390009
29949,0.752859887
11009,1.810117415
50616,-0.276398817
3449,-0.170588517
3456,0.761617073
3458,0.488253083
3552,2.650571993
3553,4.704100292
3557,-1.562993167
3603,-0.34484637
9235,1.784619774
1435,-0.629513235
4050,1.739415849
8740,-1.981919488
356,0.839255973
8743,1.988728624
1896,0.227301067
970,0.905976077
944,-0.16334843
959,0.219459799
7292,0.245806828
7040,-0.113537605
9518,-1.770533137
2658,-0.167199525
3624,-0.112581511
654,-1.047458096
1236,4.811954302
1232,0.274862119
729230,2.736159006
1235,1.293380856
2833,2.0873298
7852,1.646071973
10663,0.698924533
3559,2.755245988
3560,2.793425002
3566,0.739830813
3575,2.661318936
3601,1.535921588
50615,0.963971325
64109,1.423820895
1439,0.691688577
1438,0.470878726
3572,0.484052333
3594,0.538131357
3595,0.210532015
9466,-0.756280997
3587,1.527479851
3588,0.726257059
3454,0.434156785
3459,0.579820473
3460,0.66352833
3554,0.594531934
8809,0.91824442
8807,1.464659747
23765,-0.718712915
84818,-0.211009731
7133,0.946717307
8771,-0.53781519
8718,2.190971607
27242,-2.883683549
60401,-0.135799068
939,0.785171942
943,1.383209743
3604,1.297848414
7293,0.610840008
608,0.745893859
23495,1.545817863
115650,0.373285962
7048,0.631623325
94,0.944816249
659,0.401280361
91,0.852805034
