ENTREZID,logFC
3091,3.500233295
3265,-0.591166957
5894,0.407184443
5604,0.671079954
5605,-0.473545462
3725,-0.74846968
5295,-0.510155625
5296,-0.72864219
5293,0.683189026
6198,0.248476879
4792,1.201103436
4794,0.969040977
4790,1.171230545
5970,0.471198218
3458,0.488253083
3459,0.579820473
3460,0.66352833
6774,0.579187908
7097,1.665684101
54106,0.295134428
7189,0.254836704
4772,0.303997679
4775,-0.364321531
148022,0.37721284
353376,0.496870677
29126,1.245432262
5777,-0.779498244
5781,-0.511699955
116071,0.936372077
1459,-0.254278651
1460,-1.002569277
3932,0.725243085
916,0.811380418
917,1.121057225
919,3.153302069
915,0.194463098
7535,0.972992969
4215,-0.521742978
5608,-0.142824043
5603,-1.669540085
5335,0.63288064
5530,-0.446070816
5533,1.210272698
10125,2.06677556
940,0.449490508
5588,0.828481701
