ENTREZID,logFC
948,-3.538012981
376497,-0.915785408
10999,-0.193434885
11001,0.26991333
28965,-0.595515517
2168,-0.106524351
2167,-7.299656537
6256,-0.948596633
5467,0.542145891
5468,-2.338316428
3157,-0.5307364
10873,-2.267605504
4199,-1.54872037
9415,-0.356169571
6319,-2.061917781
10062,1.268235628
1622,-0.712215708
4023,-1.426427257
2182,1.100797753
2180,1.364187667
2181,-0.486968919
4973,1.891110873
6342,-0.443057607
8310,-0.434968242
1374,-0.779078646
1375,-0.645825158
1376,0.283454188
51129,-0.863043854
5170,-0.480481775
5106,-0.651196518
2710,1.351809606
