ENTREZID,logFC
7189,0.254836704
3654,-0.992309709
57162,1.453021191
7335,-0.321419936
7314,0.32828754
7311,-0.496679517
51135,0.523602956
3656,1.694860589
4791,0.627150372
4790,1.171230545
5970,0.471198218
6283,2.49604842
4792,1.201103436
64127,1.712241066
10392,-0.472657606
5609,-0.158275693
5599,-0.22366372
7867,-0.481836073
5608,-0.142824043
5516,-0.24236299
5515,0.427878291
5518,-0.629987157
9252,0.81926327
2002,0.540154554
6196,-2.657089145
6195,-0.846140741
6197,0.575994989
1846,0.816836307
1845,-0.597793174
1385,0.443958313
466,0.500935776
3725,-0.74846968
1326,1.192017383
5604,0.671079954
8454,0.68464489
51295,-0.364315188
929,3.17497673
353376,0.496870677
148022,0.37721284
841,0.813170685
8737,0.390805723
7187,-0.404988484
10010,1.265105208
9641,0.617742816
29110,0.970645814
3665,1.867824772
5781,-0.511699955
329,0.660815446
330,1.657034094
3684,-1.388837569
948,-3.538012981
7097,1.665684101
2244,-0.186640204
6280,3.318692788
6279,2.672813065
7096,1.523416178
8651,2.031894947
11213,1.2479213
9450,-0.962348648
4064,-0.332477573
5336,0.333085875
5775,0.832112651
