ENTREZID,logFC
7048,-0.415269078
4089,-0.313198998
1027,-0.883553603
1286,0.03711599
1536,0.577974947
5336,-0.350646718
5579,-0.1665254
5580,-0.548273237
5581,0.1312401
5594,-0.436280445
5595,-0.377567283
3383,0.08661014
7124,-0.1762549
1432,-0.425453829
4790,-0.270736057
5601,-0.13258448
5879,0.1730148
3265,0.04852731
3845,-0.268451825
5290,-0.180201077
5293,-0.2205849
5295,0.2098582
8503,0.103880913
207,-0.3092504
10000,0.06401109
581,0.218418115
836,0.2242313
6774,-0.317970263
4772,0.171368401
6772,0.631518613
6777,-0.2486703
1958,0.1006019
