ENTREZID,logFC
3565,0.04391818
3444,0.05551888
3446,-0.07138603
1443,0.05445019
3952,0.3697854
3560,-0.4193722
3561,0.34379765
3570,-0.334566745
3597,-0.4101147
3572,-0.2033452
3455,0.2327713
163702,0.1023554
1439,-0.132687393
1441,-0.462726833
5159,0.06719659
3716,-0.356880283
6772,0.631518613
6773,0.828848033
6774,-0.317970263
6777,-0.2486703
6778,-0.2173386
1154,0.2749511
8651,0.336808092
4609,-0.29852
10254,-0.102053038
8027,-0.1145119
5771,-0.1249161
10379,0.212838
2033,-0.306627879
51588,-0.2028847
6654,0.08586356
6655,-0.0915484
3265,0.04852731
5290,-0.180201077
5293,-0.2205849
5295,0.2098582
8503,0.103880913
207,-0.3092504
10000,0.06401109
