ENTREZID,logFC
5579,-0.1665254
5530,-0.333609797
5534,-0.367816708
25780,0.175247894
115727,-0.298981335
5922,-0.1107826
7039,-0.2945578
2251,0.109165972
56034,-0.2472446
80310,-0.06420147
2064,-0.09135168
4804,0.08460282
4915,0.04451783
3643,0.106230393
3480,-0.178960942
5159,0.06719659
3815,-0.05400539
6654,0.08586356
6655,-0.0915484
3265,0.04852731
3845,-0.268451825
369,-0.1536412
5594,-0.436280445
5595,-0.377567283
2872,-0.2291717
6197,-0.2999029
2002,0.273312005
4609,-0.29852
6722,-0.338228746
2353,-0.2960593
3925,0.230927413
5321,-0.096481589
7124,-0.1762549
3556,-0.3706392
7048,-0.415269078
355,-0.1560873
5879,0.1730148
5880,-0.2559819
836,0.2242313
7186,0.062969197
3654,0.16544713
7189,-0.08305556
1647,-0.5166605
4616,0.2736454
10912,0.183311913
23118,-0.219080229
5058,0.451621259
5062,-0.2519846
1326,-0.40720623
4296,0.1814404
4215,-0.217432831
7786,0.06903239
4217,-0.2929662
6885,-0.203036532
6416,-0.1743793
23542,0.04845694
1399,-0.1356262
409,-0.2111224
5601,-0.13258448
1432,-0.425453829
8550,-0.193924402
9261,0.1993279
8986,0.18840731
4772,0.171368401
4149,0.262355578
4208,0.2007194
207,-0.3092504
10000,0.06401109
84867,0.081034284
1843,-0.609669355
1844,0.05672639
1847,0.383922587
80824,-0.14393652
1845,0.337088462
5536,0.07214604
3303,-0.839636078
51701,-0.1258634
4790,-0.270736057
4791,0.1574929
