ENTREZID,logFC
4790,-0.270736057
7124,-0.1762549
2921,0.082874337
820,1.278866336
1669,1.525981125
6885,-0.203036532
23118,-0.219080229
5594,-0.436280445
5595,-0.377567283
5601,-0.13258448
1432,-0.425453829
55072,0.2017584
84674,-0.1172676
7205,0.071778
55914,-0.125126029
329,0.5540811
7186,0.062969197
7189,-0.08305556
57506,0.06531412
3665,0.880068387
3444,0.05551888
3446,-0.07138603
79671,-0.2054036
118429,-0.235537672
114548,-0.2216583
54822,-0.06055715
7417,-0.1340653
4938,0.520380993
4939,1.548516609
4940,0.903134243
6041,-0.2235043
9927,0.3725558
8737,0.1457783
10135,-0.982063832
1536,0.577974947
25828,0.125329349
140609,-0.326564341
79184,-0.093256353
4210,-0.269282
841,-0.167382081
8772,-0.1694897
440068,0.1760694
4671,-0.3288996
5580,-0.548273237
3428,-0.2989968
387,-0.288254616
7531,0.1631863
2633,0.4848992
115361,0.3602592
3455,0.2327713
3716,-0.356880283
6772,0.631518613
6773,0.828848033
10379,0.212838
