ENTREZID,logFC
7124,-0.1762549
7186,0.062969197
8737,0.1457783
329,0.5540811
55072,0.2017584
1540,-0.1988746
8772,-0.1694897
841,-0.167382081
1536,0.577974947
818,-0.1934588
291,0.2667295
5481,-0.344894785
7417,-0.1340653
5836,-0.784685815
5837,0.071152043
5601,-0.13258448
2495,-0.502360764
5321,-0.096481589
823,-0.3369282
824,0.159858087
197259,-0.2148589
114548,-0.2216583
27243,-0.3209283
25978,-0.34178568
29082,0.1212043
9525,-0.427488618
27183,0.1323641
57132,-0.409681689
5119,0.1954197
91782,0.084843986
54822,-0.06055715
3146,-0.483256215
8795,-0.535767084
355,-0.1560873
11124,0.09352596
3444,0.05551888
3446,-0.07138603
3455,0.2327713
3716,-0.356880283
6772,0.631518613
6773,0.828848033
6774,-0.317970263
6777,-0.2486703
6778,-0.2173386
10379,0.212838
5610,0.849015247
81030,0.610105687
27005,-0.07253392
637,-0.1705248
581,0.218418115
3014,0.2159148
8338,0.826149326
3012,0.2029594
55766,0.83845151
8336,0.08017991
3013,-0.06178839
