ENTREZID,logFC
7039,-0.2945578
2251,0.109165972
56034,-0.2472446
80310,-0.06420147
2064,-0.09135168
4804,0.08460282
4915,0.04451783
3643,0.106230393
3480,-0.178960942
5159,0.06719659
3815,-0.05400539
6654,0.08586356
6655,-0.0915484
3265,0.04852731
3845,-0.268451825
5594,-0.436280445
5595,-0.377567283
5879,0.1730148
6850,-0.292502132
930,0.31983037
1443,0.05445019
3565,0.04391818
3444,0.05551888
3446,-0.07138603
3560,-0.4193722
3561,0.34379765
3570,-0.334566745
3455,0.2327713
1441,-0.462726833
3716,-0.356880283
1286,0.03711599
1292,-0.05466218
1297,0.04956546
3918,0.04852613
3371,0.06740871
3673,-0.04130203
3675,0.332500528
3678,-0.2691929
3680,0.05907661
8515,0.03637091
3685,-0.06565656
5290,-0.180201077
5293,-0.2205849
5295,0.2098582
8503,0.103880913
2846,0.0760356
54331,-0.413168577
94235,0.347650948
2790,-0.541012008
146850,-0.100647722
5170,-0.260369689
7248,-0.1467616
6009,-0.1581183
1978,0.092282783
1977,-0.208572682
253314,0.05653272
1975,-0.511321513
207,-0.3092504
10000,0.06401109
9223,0.07826436
5515,-0.1944906
5518,-0.2547302
5520,0.243059317
55844,-0.142893744
55012,-0.435940344
5527,-0.310070575
11140,-0.276071743
8115,0.123863218
9623,0.0990551
672,0.0571237
4609,-0.29852
1027,-0.883553603
1017,0.140969948
898,0.1033522
5934,-0.538191348
10018,0.09102799
7534,-0.1892418
7529,-0.281919371
10971,-0.2820087
7531,0.1631863
7533,0.2372016
7532,0.263309265
10488,0.096056682
64764,0.30228142
9586,-0.3806686
1388,0.09428138
6256,-0.381420219
4790,-0.270736057
4602,0.419335701
4193,-0.0465092
