ENTREZID,logFC
7124,-0.1762549
7186,0.062969197
8737,0.1457783
329,0.5540811
6885,-0.203036532
23118,-0.219080229
6416,-0.1743793
5601,-0.13258448
2353,-0.2960593
1432,-0.425453829
1051,-0.3877048
4217,-0.2929662
4790,-0.270736057
1326,-0.40720623
5594,-0.436280445
5595,-0.377567283
8986,0.18840731
10488,0.096056682
64764,0.30228142
9586,-0.3806686
1388,0.09428138
197259,-0.2148589
8772,-0.1694897
841,-0.167382081
836,0.2242313
6364,0.106213631
2921,0.082874337
6374,-0.2282837
3627,0.288151584
355,-0.1560873
3383,0.08661014
5743,-0.424348198
5290,-0.180201077
5293,-0.2205849
5295,0.2098582
8503,0.103880913
207,-0.3092504
10000,0.06401109
3659,-0.4351542
