ENTREZID,logFC
8140,0.783472225
6520,0.288848569
523,-0.471685541
528,-0.2175554
51382,0.3609619
90423,-0.07090755
529,0.28311597
9296,0.284102815
9550,0.2587425
51606,-0.1205994
389541,0.300346241
96459,-0.284527
64121,0.1787868
79726,0.08437665
6502,0.231884406
64798,0.03648376
6249,-0.439238924
64900,-0.055242944
8408,-0.522078429
9706,0.03860452
1978,0.092282783
1977,-0.208572682
253314,0.05653272
1975,-0.511321513
51719,-0.3782117
7248,-0.1467616
6009,-0.1581183
81029,0.08539923
8326,0.08743614
1857,-0.124689249
1856,0.094053355
7124,-0.1762549
3643,0.106230393
3480,-0.178960942
6654,0.08586356
6655,-0.0915484
3265,0.04852731
3845,-0.268451825
5594,-0.436280445
5595,-0.377567283
6197,-0.2999029
5295,0.2098582
8503,0.103880913
5290,-0.180201077
5293,-0.2205849
5170,-0.260369689
207,-0.3092504
10000,0.06401109
79109,-0.126606066
253260,-0.08140363
55615,-0.4045658
387,-0.288254616
5579,-0.1665254
