ENTREZID,logFC
4046,0.5593161
3845,0.400714985
4893,0.924498984
6237,1.052564515
22800,-0.941736855
5970,0.312815897
5971,1.266072832
3553,0.971410116
6850,0.396113519
5781,-0.178681259
9020,-0.774462517
1147,0.538991884
4791,0.824030988
3708,-0.653321165
3710,-1.453963561
801,-0.409323416
91860,0.525415745
5533,-1.226620821
4775,-0.648531202
3586,-0.363706768
1959,0.270258341
5743,-0.681299044
5580,0.828494335
5594,0.386305921
5595,0.602365644
29108,0.674513198
834,0.926175828
8915,0.574533802
10892,-1.190763563
8517,0.308640602
3551,-0.336498493
4792,1.301949889
4790,0.367349262
7124,0.660301494
51561,-0.909057607
5600,0.281204406
1432,2.154539652
5601,-0.375642973
3725,0.340741178
868,-1.042837416
93978,0.469730082
2207,2.085795471
387,0.207601457
6772,0.764853208
10379,0.207223865
1540,-1.010228459
602,1.111416798
9261,0.662879459
26253,1.517460814
5290,0.291097665
5293,0.26048526
5291,0.902404172
5295,-0.786426339
5296,-0.729629038
207,-0.885064643
10000,-0.256141291
4193,0.300242273
3659,0.716479486
338339,3.259812118
51266,1.138224894
