ENTREZID,logFC
3932,-0.919729466
7535,-1.811975219
27040,-1.108749862
5335,-1.29351617
5588,-1.478213568
6850,0.396113519
4067,0.664535308
695,0.288841869
5579,0.227975247
84433,-0.946130442
79092,-0.472888331
8915,0.574533802
10892,-1.190763563
3553,0.971410116
3554,1.227195878
4615,1.009426012
51135,0.470880513
7189,0.336973551
7124,0.660301494
7132,0.685744734
8717,-0.214090957
7188,-1.899010121
10913,-0.70371305
128178,-0.690279234
1540,-1.010228459
23586,0.621509508
7706,0.98603768
929,0.837534694
7099,1.37558484
23643,1.342056492
114609,0.181199353
148022,0.651897212
959,-1.499177408
958,0.80590696
7187,0.627041244
4049,-0.764380712
4050,-0.715462898
4055,0.989861181
9020,-0.774462517
6885,-0.271295722
10454,-0.300392646
10673,0.921147409
8517,0.308640602
1147,0.538991884
3551,-0.336498493
142,-0.596357892
7329,-0.422875161
472,-1.467324543
4792,1.301949889
4790,0.367349262
5970,0.312815897
8837,0.601860458
331,0.711791423
598,-0.930007746
596,-1.497809452
1647,1.805089306
4616,1.356683583
10912,1.269539057
7185,-0.878114091
597,1.691460752
4791,0.824030988
3576,-1.914698605
7128,0.853357154
5743,-0.681299044
5328,0.402069478
1457,0.199679349
283106,0.370340872
5971,1.266072832
3383,1.889157049
