ENTREZID,logFC
915,-1.620202034
916,-1.520817952
917,-1.4029114
919,-1.70571326
920,-1.30271332
925,-1.465476715
926,-0.953621218
3932,-0.919729466
2534,-1.117703278
7535,-1.811975219
27040,-1.108749862
3702,-1.782101086
4690,-0.322768893
7409,0.486733699
7410,-0.395934534
9402,-0.471976244
2885,0.640205931
387,0.207601457
5600,0.281204406
1432,2.154539652
5335,-1.29351617
5533,-1.226620821
4775,-0.648531202
6655,0.915664516
10125,-1.803685235
3845,0.400714985
4893,0.924498984
5605,0.263683989
5594,0.386305921
5595,0.602365644
3725,0.340741178
5588,-1.478213568
84433,-0.946130442
8915,0.574533802
10892,-1.190763563
6885,-0.271295722
5601,-0.375642973
1147,0.538991884
3551,-0.336498493
8517,0.308640602
4790,0.367349262
5970,0.312815897
4792,1.301949889
4793,1.126859787
4794,0.332685435
940,-1.26992091
29851,-1.361388975
959,-1.499177408
5295,-0.786426339
5296,-0.729629038
5290,0.291097665
5293,0.26048526
5291,0.902404172
207,-0.885064643
10000,-0.256141291
1326,0.538770814
9020,-0.774462517
2932,0.660181072
1493,-0.992540565
5777,0.489148169
868,-1.042837416
3565,-0.411069478
3586,-0.363706768
3458,-0.578908964
7124,0.660301494
