compound,score
bortezomib,-0.584507282
LY-2090314,-0.584035061
KIN001-043,-0.577246249
CHIR-99021,-0.574258373
GSK-1059615,-0.57378558
MG-132,-0.573040957
geldanamycin,-0.570892456
Y-39983,-0.569810439
withaferin-a,-0.568808236
dasatinib,-0.567107753
PD-0325901,-0.565123102
XMD-1150,-0.56450559
indibulin,-0.563539281
bisindolylmaleimide,-0.561146108
CYT387,-0.560784299
WH-4-025,-0.560738667
radicicol,-0.560687746
honokiol,-0.560668002
saracatinib,-0.560165808
CGP-60474,-0.556609216
fostamatinib,-0.556236587
PD-184352,-0.555082253
AS-605240,-0.554402838
brivanib,-0.553680308
veliparib,-0.55341587
sorafenib,-0.553396441
XMD11-85H,-0.552341649
BI-2536,-0.551696583
siramesine,-0.550386521
SB-590885,-0.54984183
roscovitine,-0.549071515
PHA-665752,-0.548966143
"3,3'-diindolylmethane",-0.548898015
zaldaride,-0.548789028
2-methoxyestradiol,-0.548527899
AT-7519,-0.548320082
ruxolitinib,-0.547386406
enzastaurin,-0.546981753
pentamidine,-0.546599534
bretazenil,-0.545765254
UK-383367,-0.545115732
TG-101348,-0.545009514
afatinib,-0.544857013
castanospermine,-0.5447784
primaquine,-0.544750007
asenapine,-0.543514052
olaparib,-0.543193339
risperidone,-0.543085257
nintedanib,-0.542780606
KX2-391,-0.542697482
ABT-202,-0.542569536
estradiol,-0.542547313
acifran,-0.54252189
PHA-793887,-0.542517459
ribavirin,-0.542384863
GW-843682X,-0.54231616
drospirenone,-0.542304302
exemestane,-0.542234432
ripasudil,-0.542141475
linifanib,-0.542101305
LY-2811376,-0.542100067
phentermine,-0.541869808
elvitegravir,-0.541698717
epitiostanol,-0.541364144
suvorexant,-0.541236935
hydroxyurea,-0.541215938
TWS-119,-0.540512949
GSK-461364,-0.540146049
PF-562271,-0.540073616
palbociclib,-0.539897654
telmisartan,-0.539874185
nicotinamide,-0.539737826
thiothixene,-0.539572625
GSK-1904529A,-0.539431535
nisoxetine,-0.539351983
niclosamide,-0.539300894
mozavaptan,-0.539221993
NVP-AUY922,-0.539163863
orantinib,-0.538712767
alvocidib,-0.538672438
pemirolast,-0.538572611
PF-04136309,-0.538544859
neratinib,-0.538455012
exherin,-0.53817619
paclitaxel,-0.538166955
WAY-362450,-0.538113857
lisofylline,-0.537921628
ambrisentan,-0.537459556
SB-216763,-0.537429224
TH-302,-0.537407421
AS-601245,-0.537312672
